id,repeat_id,correctness,style,response_time,model_name,temperature,difficulty
2,2,1.0,1.0,0.6597687346594674,qwen3:1.7b,0.3,hard
3,2,0.5,1.0,0.6587294340133667,qwen3:1.7b,0.3,easy
1,1,0.5,0.5,0.14091464451381142,qwen3:1.7b,0.3,hard
3,1,0.5,1.0,0.6860125405447823,qwen3:1.7b,0.3,easy
2,3,1.0,1.0,0.663589664867946,qwen3:1.7b,0.3,hard
2,1,1.0,1.0,0.5364373070853097,qwen3:1.7b,0.3,hard
3,3,0.0,1.0,0.726086906024388,qwen3:1.7b,0.3,easy
1,2,0.5,0.5,0.7401356526783535,qwen3:1.7b,0.3,hard
4,1,0.0,1.0,0.7923460687909807,qwen3:1.7b,0.3,easy
5,1,0.0,0.5,0.8312134402138847,qwen3:1.7b,0.3,medium
5,2,0.0,0.5,0.8028416803904942,qwen3:1.7b,0.3,medium
4,3,0.0,1.0,0.900929502078465,qwen3:1.7b,0.3,easy
1,3,0.0,0.5,0.7963342496326992,qwen3:1.7b,0.3,hard
4,2,0.0,1.0,0.882216249193464,qwen3:1.7b,0.3,easy
5,3,0.0,1.0,0.8088379928043911,qwen3:1.7b,0.3,medium
6,3,0.0,0.5,0.8655331305095127,qwen3:1.7b,0.3,medium
7,1,0.0,0.5,0.8734302180153983,qwen3:1.7b,0.3,easy
7,2,0.0,1.0,0.8720263072422573,qwen3:1.7b,0.3,easy
6,1,0.0,0.5,0.8254969460623605,qwen3:1.7b,0.3,medium
7,3,0.0,1.0,0.8958980866840908,qwen3:1.7b,0.3,easy
8,1,0.0,1.0,0.8514572552272252,qwen3:1.7b,0.3,easy
8,2,0.0,1.0,0.8500468730926514,qwen3:1.7b,0.3,easy
6,2,0.0,1.0,0.8669750009264265,qwen3:1.7b,0.3,medium
9,1,0.0,0.5,0.8646836621420724,qwen3:1.7b,0.3,medium
9,3,0.0,1.0,0.8603053774152483,qwen3:1.7b,0.3,medium
9,2,0.0,1.0,0.8641163621629988,qwen3:1.7b,0.3,medium
8,3,0.0,1.0,0.8536008426121303,qwen3:1.7b,0.3,easy
10,1,0.0,0.5,0.8696151290621077,qwen3:1.7b,0.3,medium
10,2,0.0,0.5,0.8699611936296736,qwen3:1.7b,0.3,medium
10,3,0.0,1.0,0.8742531878607613,qwen3:1.7b,0.3,medium
12,1,1.0,0.5,0.750477637563433,qwen3:1.7b,0.3,easy
11,3,0.0,0.5,0.5798849548612321,qwen3:1.7b,0.3,easy
11,1,0.0,1.0,0.7623882974897112,qwen3:1.7b,0.3,easy
11,2,0.0,1.0,0.7685358694621495,qwen3:1.7b,0.3,easy
12,2,1.0,0.5,0.6826928343091692,qwen3:1.7b,0.3,easy
12,3,0.0,1.0,0.8660709687641689,qwen3:1.7b,0.3,easy
13,2,0.0,0.5,0.7541447196687971,qwen3:1.7b,0.3,hard
13,3,0.5,0.5,0.8968052523476737,qwen3:1.7b,0.3,hard
14,2,0.5,1.0,0.803174648966108,qwen3:1.7b,0.3,hard
14,3,0.0,1.0,0.8071555410112654,qwen3:1.7b,0.3,hard
13,1,0.0,1.0,0.8250129393168858,qwen3:1.7b,0.3,hard
15,2,0.5,0.5,0.8691082171031407,qwen3:1.7b,0.3,medium
15,1,0.5,1.0,0.8957370519638062,qwen3:1.7b,0.3,medium
16,1,0.0,1.0,0.9277606010437012,qwen3:1.7b,0.3,medium
16,2,0.5,1.0,0.9499570301600865,qwen3:1.7b,0.3,medium
17,1,0.5,0.5,0.8172796964645386,qwen3:1.7b,0.3,hard
16,3,0.5,0.5,0.9276599373136248,qwen3:1.7b,0.3,medium
15,3,0.0,1.0,0.868444425719125,qwen3:1.7b,0.3,medium
14,1,0.5,1.0,0.8271669830594743,qwen3:1.7b,0.3,hard
17,3,1.0,0.5,0.7965185982840401,qwen3:1.7b,0.3,hard
18,1,0.5,1.0,0.8899321726390294,qwen3:1.7b,0.3,hard
17,2,1.0,1.0,0.7954188414982387,qwen3:1.7b,0.3,hard
18,2,0.5,1.0,0.8925548451287406,qwen3:1.7b,0.3,hard
18,3,0.5,1.0,0.8880724225725446,qwen3:1.7b,0.3,hard
