id,repeat_id,correctness,style,response_time,model_name,temperature,difficulty
2,3,0.0,1.0,0.8617115531648909,granite3.3:2b,0.3,hard
2,2,0.0,1.0,0.8922511509486607,granite3.3:2b,0.3,hard
2,1,0.0,1.0,0.8901672874178205,granite3.3:2b,0.3,hard
1,3,0.5,0.5,0.9771495035716465,granite3.3:2b,0.3,hard
1,2,0.5,0.5,0.5206011533737183,granite3.3:2b,0.3,hard
1,1,0.5,0.5,0.861285618373326,granite3.3:2b,0.3,hard
3,2,0.5,1.0,0.7845910446984428,granite3.3:2b,0.3,easy
3,1,0.5,1.0,0.7736060789653233,granite3.3:2b,0.3,easy
4,2,0.0,1.0,0.8874290670667376,granite3.3:2b,0.3,easy
4,1,0.0,0.5,0.831116931779044,granite3.3:2b,0.3,easy
4,3,0.0,1.0,0.8905718156269619,granite3.3:2b,0.3,easy
5,1,0.0,1.0,0.8153146164757865,granite3.3:2b,0.3,medium
6,2,0.0,1.0,0.8305315290178572,granite3.3:2b,0.3,medium
3,3,0.5,0.5,0.8232811859675816,granite3.3:2b,0.3,easy
5,3,0.0,1.0,0.8067439794540405,granite3.3:2b,0.3,medium
5,2,0.0,1.0,0.857766968863351,granite3.3:2b,0.3,medium
6,1,0.0,1.0,0.831398572240557,granite3.3:2b,0.3,medium
6,3,0.0,1.0,0.8301751954214913,granite3.3:2b,0.3,medium
7,2,1.0,1.0,0.7594361816133772,granite3.3:2b,0.3,easy
8,3,0.0,1.0,0.8555479049682617,granite3.3:2b,0.3,easy
7,1,1.0,0.5,0.7596481527600969,granite3.3:2b,0.3,easy
8,2,0.0,1.0,0.8567622218813216,granite3.3:2b,0.3,easy
8,1,0.0,1.0,0.8584474495479039,granite3.3:2b,0.3,easy
9,1,0.0,1.0,0.8688702753611973,granite3.3:2b,0.3,medium
7,3,1.0,0.5,0.7534576824733189,granite3.3:2b,0.3,easy
9,3,0.0,1.0,0.9178142717906407,granite3.3:2b,0.3,medium
10,1,0.0,1.0,0.8863716806684222,granite3.3:2b,0.3,medium
9,2,0.0,1.0,0.8722440344946725,granite3.3:2b,0.3,medium
11,3,0.0,0.5,0.8256919213703701,granite3.3:2b,0.3,easy
10,3,0.0,1.0,0.8798326083592006,granite3.3:2b,0.3,medium
11,2,0.0,1.0,0.8263779708317348,granite3.3:2b,0.3,easy
11,1,0.0,1.0,0.8307561363492693,granite3.3:2b,0.3,easy
10,2,0.0,1.0,0.9312828779220581,granite3.3:2b,0.3,medium
12,1,0.0,0.5,0.8632477862494332,granite3.3:2b,0.3,easy
12,3,0.0,0.5,0.8623904500688826,granite3.3:2b,0.3,easy
12,2,0.0,1.0,0.8632593154907227,granite3.3:2b,0.3,easy
13,3,0.0,0.5,0.8639706713812692,granite3.3:2b,0.3,hard
13,1,0.0,0.5,0.8622398717062814,granite3.3:2b,0.3,hard
13,2,0.0,1.0,0.8631860017776489,granite3.3:2b,0.3,hard
14,2,0.0,0.5,0.8657189777919224,granite3.3:2b,0.3,hard
14,1,0.0,1.0,0.8651119129998344,granite3.3:2b,0.3,hard
15,1,0.0,1.0,0.9403458833694458,granite3.3:2b,0.3,medium
16,1,0.0,1.0,0.757616673197065,granite3.3:2b,0.3,medium
14,3,0.0,0.5,0.8614903007234846,granite3.3:2b,0.3,hard
15,3,0.0,1.0,0.8048592465264457,granite3.3:2b,0.3,medium
15,2,0.0,1.0,0.8050835643495833,granite3.3:2b,0.3,medium
16,2,0.0,1.0,0.7594214677810669,granite3.3:2b,0.3,medium
16,3,0.0,1.0,0.7642709697995866,granite3.3:2b,0.3,medium
17,1,0.0,1.0,0.7702622073037284,granite3.3:2b,0.3,hard
17,2,0.0,1.0,0.7725663014820644,granite3.3:2b,0.3,hard
18,1,0.0,1.0,0.770323497908456,granite3.3:2b,0.3,hard
17,3,0.0,1.0,0.7702114922659737,granite3.3:2b,0.3,hard
18,2,0.0,1.0,0.7714767966951643,granite3.3:2b,0.3,hard
18,3,0.0,1.0,0.7728781529835292,granite3.3:2b,0.3,hard
