id,repeat_id,correctness,style,response_time,model_name,temperature,difficulty
2,2,0.0,0.5,0.4934147936957223,qwen3:8b,0.3,hard
3,1,0.5,0.5,0.5313244717461723,qwen3:8b,0.3,easy
3,2,0.5,1.0,0.6544118097850254,qwen3:8b,0.3,easy
1,1,0.5,0.5,0.0,qwen3:8b,0.3,hard
2,3,0.5,0.5,0.6336439847946167,qwen3:8b,0.3,hard
1,3,0.5,0.5,0.3915340559823173,qwen3:8b,0.3,hard
1,2,0.5,1.0,0.4557877608707973,qwen3:8b,0.3,hard
4,1,0.0,1.0,0.5736792939049857,qwen3:8b,0.3,easy
4,3,0.0,1.0,0.4051503453935895,qwen3:8b,0.3,easy
5,1,0.0,1.0,0.48428288527897423,qwen3:8b,0.3,medium
4,2,0.0,1.0,0.5488228968211583,qwen3:8b,0.3,easy
3,3,0.5,1.0,0.5970277105058943,qwen3:8b,0.3,easy
5,2,0.0,1.0,0.5352651902607509,qwen3:8b,0.3,medium
5,3,0.0,1.0,0.48671894414084294,qwen3:8b,0.3,medium
6,1,0.0,1.0,0.5611523389816284,qwen3:8b,0.3,medium
2,1,0.5,1.0,0.4685325452259609,qwen3:8b,0.3,hard
6,3,0.0,1.0,0.5164922986711775,qwen3:8b,0.3,medium
6,2,0.0,1.0,0.515500852039882,qwen3:8b,0.3,medium
7,1,1.0,0.5,0.3147851569311959,qwen3:8b,0.3,easy
8,2,1.0,1.0,0.4822029556546893,qwen3:8b,0.3,easy
9,2,0.5,1.0,0.5441349404198783,qwen3:8b,0.3,medium
7,2,1.0,1.0,0.36468103953770226,qwen3:8b,0.3,easy
7,3,1.0,1.0,0.3764195612498692,qwen3:8b,0.3,easy
9,1,0.5,1.0,0.5371875422341483,qwen3:8b,0.3,medium
8,3,1.0,1.0,0.4856046949114118,qwen3:8b,0.3,easy
8,1,1.0,1.0,0.4494221891675677,qwen3:8b,0.3,easy
9,3,0.5,1.0,0.6181116104125977,qwen3:8b,0.3,medium
10,1,0.5,1.0,0.3695966345923287,qwen3:8b,0.3,medium
10,3,0.5,1.0,0.4297523498535156,qwen3:8b,0.3,medium
12,2,1.0,1.0,0.40767909799303326,qwen3:8b,0.3,easy
12,1,1.0,1.0,0.0,qwen3:8b,0.3,easy
11,3,1.0,0.5,0.0,qwen3:8b,0.3,easy
12,3,1.0,0.5,0.5852417094366891,qwen3:8b,0.3,easy
11,2,1.0,1.0,0.0,qwen3:8b,0.3,easy
11,1,1.0,1.0,0.0,qwen3:8b,0.3,easy
10,2,0.0,1.0,0.4327957289559501,qwen3:8b,0.3,medium
13,1,0.5,1.0,0.0,qwen3:8b,0.3,hard
13,2,1.0,0.5,0.4614696502685547,qwen3:8b,0.3,hard
13,3,1.0,1.0,0.42566563401903423,qwen3:8b,0.3,hard
14,2,1.0,1.0,0.5129150152206421,qwen3:8b,0.3,hard
14,3,1.0,1.0,0.4810030800955636,qwen3:8b,0.3,hard
15,3,1.0,0.5,0.5381543466023037,qwen3:8b,0.3,medium
15,1,1.0,1.0,0.21753258364541195,qwen3:8b,0.3,medium
14,1,1.0,1.0,0.43153224672589985,qwen3:8b,0.3,hard
15,2,1.0,1.0,0.4107503890991211,qwen3:8b,0.3,medium
16,1,0.5,1.0,0.3124479055404663,qwen3:8b,0.3,medium
16,3,1.0,0.5,0.37341417585100445,qwen3:8b,0.3,medium
16,2,0.5,1.0,0.36069706508091515,qwen3:8b,0.3,medium
18,2,0.0,0.5,0.9091628789901733,qwen3:8b,0.3,hard
17,1,0.5,1.0,0.08439581734793522,qwen3:8b,0.3,hard
18,1,0.0,0.5,0.566678592136928,qwen3:8b,0.3,hard
18,3,0.0,0.5,0.9695716585431781,qwen3:8b,0.3,hard
17,3,0.5,1.0,0.2123301710401263,qwen3:8b,0.3,hard
17,2,0.0,0.5,0.4920564889907837,qwen3:8b,0.3,hard
