correctness,style,response_time,model_name,temperature,difficulty
1.0,0.1,0.8535465172358921,llama3.1:8b,0.3,easy
1.0,0.3,0.8208250829151699,llama3.1:8b,0.3,easy
0.1,0.3,0.8251704829079765,llama3.1:8b,0.3,medium
0.9,0.4,0.9026333774839129,llama3.1:8b,0.3,hard
0.3,0.4,0.8176272937229702,llama3.1:8b,0.3,hard
1.0,0.2,0.7966649872916085,llama3.1:8b,0.3,medium
1.0,0.1,0.7852613925933838,llama3.1:8b,0.3,easy
0.7,0.2,0.776889749935695,llama3.1:8b,0.3,hard
0.7,0.5,0.7360927207129342,llama3.1:8b,0.3,easy
1.0,0.25,0.7497899191720145,llama3.1:8b,0.3,medium
0.95,0.3,0.7975848061697823,llama3.1:8b,0.3,hard
0.0,0.5,0.7976431846618652,llama3.1:8b,0.3,hard
0.8,0.2,0.8344868932451521,llama3.1:8b,0.3,easy
0.5,0.3,0.8398352009909493,llama3.1:8b,0.3,medium
0.7,0.4,0.8415074689047677,llama3.1:8b,0.3,easy
0.6,0.1,0.8074549777167184,llama3.1:8b,0.3,medium
0.5,0.4,0.7753466197422573,llama3.1:8b,0.3,medium
0.8,0.1,0.8045106785637992,llama3.1:8b,0.3,hard
